w/o delta T
lambda	PSNR	LPIPS	DIST	BPP	T_SNR	delata_T	T_used
2.000	22.981	0.1771	0.1016	0.0344	879.6	-9.6	879.6
3.031	22.716	0.1787	0.1004	0.0310	883.2	-13.2	883.2
4.595	22.290	0.1856	0.1016	0.0269	887.6	-17.6	887.6
6.964	21.681	0.1964	0.1048	0.0226	892.2	-22.2	892.2
10.556	20.792	0.2233	0.1188	0.0181	897.2	-26.8	897.2
16.000	19.943	0.2417	0.1270	0.0166	898.7	-28.0	898.7

w delta T
lambda	PSNR	LPIPS	DIST	BPP	T_SNR	delata_T	T_used
2.000	22.981	0.1771	0.1016	0.0344	879.6	-9.6	870.0
3.031	22.716	0.1787	0.1004	0.0310	883.2	-13.2	870.0
4.595	22.290	0.1856	0.1016	0.0269	887.6	-17.6	870.0
6.964	21.681	0.1964	0.1048	0.0226	892.2	-22.2	870.0
10.556	20.792	0.2233	0.1188	0.0181	897.2	-26.8	870.3
16.000	19.943	0.2417	0.1270	0.0166	898.7	-28.0	870.8
